timestamp,name,tag,region,queue_type,owner,mmr,rank,actual_mmr,actual_rank
2026-04-27T15:40:44,SasimySean,4174,KR,Ranked Flex,Sean,764,,,
2026-04-27T15:40:57,SasimySean,4174,KR,Ranked Flex,Sean,764,,,
2026-04-27T15:40:58,일회용라이타,KR1,KR,Ranked Flex,Sean,754,,,
2026-04-27T15:40:58,떼그라션,4174,KR,Ranked Flex,Sean,919,,,
2026-04-27T15:41:02,펑키왈숙,6117,KR,Ranked Flex,Motaju,633,,,
2026-04-27T15:42:05,SasimySean,4174,KR,Ranked Flex,Sean,764,,,
2026-04-27T15:42:05,일회용라이타,KR1,KR,Ranked Flex,Sean,754,,,
2026-04-27T15:42:06,떼그라션2,4174,KR,Ranked Flex,Sean,724,,,
2026-04-27T15:42:06,떼그라션,4174,KR,Ranked Flex,Sean,919,,,
2026-04-27T15:42:06,떼그라숀,4174,KR,Ranked Flex,Sean,1011,,,
2026-04-27T15:42:07,떼그라대,KR11,KR,Ranked Flex,Dani,704,,,
2026-04-27T15:42:07,떼그라월,1234,KR,Ranked Flex,Wallace,721,,,
2026-04-27T15:42:08,떼그라호,0627,KR,Ranked Flex,함팀장님,834,,,
2026-04-27T15:42:08,qwer,a000,KR,Ranked Flex,함팀장님,1300,,,
2026-04-27T15:42:08,거북이,0627,KR,Ranked Flex,함팀장님,938,,,
2026-04-27T15:42:09,떼그라클,k91,KR,Ranked Flex,Michael,771,,,
2026-04-27T15:42:09,펑키왈숙,6117,KR,Ranked Flex,Motaju,633,,,
2026-04-27T15:42:09,떼그라쥬,RTG,KR,Ranked Flex,Motaju,2074,,,
2026-04-27T15:46:15,SasimySean,4174,KR,Ranked Flex,Sean,764,,,
2026-04-27T15:46:15,일회용라이타,KR1,KR,Ranked Flex,Sean,754,,,
2026-04-27T15:46:16,떼그라션2,4174,KR,Ranked Flex,Sean,724,,,
2026-04-27T15:46:16,떼그라션,4174,KR,Ranked Flex,Sean,919,,,
2026-04-27T15:46:16,떼그라숀,4174,KR,Ranked Flex,Sean,1011,,,
2026-04-27T15:46:17,떼그라대,KR11,KR,Ranked Flex,Dani,704,,,
2026-04-27T15:46:17,떼그라월,1234,KR,Ranked Flex,Wallace,721,,,
2026-04-27T15:46:18,떼그라호,0627,KR,Ranked Flex,함팀장님,834,,,
2026-04-27T15:46:18,qwer,a000,KR,Ranked Flex,함팀장님,1300,,,
2026-04-27T15:46:18,거북이,0627,KR,Ranked Flex,함팀장님,938,,,
2026-04-27T15:46:19,떼그라클,k91,KR,Ranked Flex,Michael,771,,,
2026-04-27T15:46:19,펑키왈숙,6117,KR,Ranked Flex,Motaju,633,,,
2026-04-27T15:46:19,떼그라쥬,RTG,KR,Ranked Flex,Motaju,2074,,,
2026-04-27T15:53:28,SasimySean,4174,KR,Ranked Flex,Sean,764,,,
2026-04-27T15:53:28,일회용라이타,KR1,KR,Ranked Flex,Sean,754,,,
2026-04-27T15:53:29,떼그라션2,4174,KR,Ranked Flex,Sean,724,,,
2026-04-27T15:53:29,떼그라션,4174,KR,Ranked Flex,Sean,919,,,
2026-04-27T15:53:29,떼그라숀,4174,KR,Ranked Flex,Sean,1011,,,
2026-04-27T15:53:30,떼그라대,KR11,KR,Ranked Flex,Dani,704,,,
2026-04-27T15:53:30,떼그라월,1234,KR,Ranked Flex,Wallace,721,,,
2026-04-27T15:53:31,떼그라호,0627,KR,Ranked Flex,함팀장님,834,,,
2026-04-27T15:53:31,qwer,a000,KR,Ranked Flex,함팀장님,1300,,,
